DATE,Time (UTC),Booster_Version,Launch_Site,PAYLOAD_MASS__KG_,Orbit,Customer,Mission_Outcome,Landing _Outcome
2010-07-16,00:00:00,F9 v1.0  B1051,CCAFS SLC-40,12416,VLEO,Iridium,Success,True ASDS
2010-08-27,00:00:00,F9 v1.0  B1052,CCAFS SLC-40,4869,PO,SpaceX,Success,True ASDS
2010-10-08,00:00:00,F9 v1.0  B1053,CCAFS SLC-40,10061,VLEO,SpaceX,Success,True ASDS
2010-11-19,00:00:00,F9 v1.0  B1054,CCAFS SLC-40,8601,ISS,NASA (CRS),Failure,None None
2010-12-31,00:00:00,F9 v1.0  B1055,CCAFS SLC-40,9120,ISS,SpaceX,Success,True ASDS
2011-02-11,00:00:00,F9 v1.0  B1056,CCAFS SLC-40,6209,LEO,NASA (ISS),Failure,False ASDS
2011-03-25,00:00:00,F9 v1.0  B1057,CCAFS SLC-40,9558,PO,SpaceX,Failure,None ASDS
2011-05-06,00:00:00,F9 v1.0  B1058,CCAFS SLC-40,6862,PO,Iridium,Success,True ASDS
2011-06-17,00:00:00,F9 v1.0  B1059,CCAFS SLC-40,6341,ISS,NASA (CRS),Success,True RTLS
2011-07-29,00:00:00,F9 v1.0  B1060,CCAFS SLC-40,1422,GTO,SpaceX,Success,True ASDS
2011-09-09,00:00:00,F9 v1.0  B1061,CCAFS SLC-40,8939,PO,SpaceX,Failure,False RTLS
2011-10-21,00:00:00,F9 v1.0  B1062,CCAFS SLC-40,252,GTO,SpaceX,Success,True ASDS
2011-12-02,00:00:00,F9 v1.0  B1063,CCAFS SLC-40,4096,GTO,USAF,Failure,None None
2012-01-13,00:00:00,F9 v1.0  B1064,CCAFS SLC-40,0,GTO,NASA (ISS),Failure,False ASDS
2012-02-24,00:00:00,F9 v1.0  B1065,CCAFS SLC-40,7840,LEO,NASA (ISS),Success,True RTLS
2012-04-06,00:00:00,F9 v1.0  B1066,CCAFS SLC-40,14366,GTO,NASA (CRS),Success,True ASDS
2012-05-18,00:00:00,F9 v1.0  B1067,CCAFS SLC-40,7251,GTO,SpaceX,Success,True RTLS
2012-06-29,00:00:00,F9 v1.0  B1068,CCAFS SLC-40,12961,HEO,SES,Success,True ASDS
2012-08-10,00:00:00,F9 v1.0  B1069,CCAFS SLC-40,10790,VLEO,SES,Success,True RTLS
2012-09-21,00:00:00,F9 v1.0  B1070,CCAFS SLC-40,6152,ISS,Iridium,Failure,None None
2012-11-02,00:00:00,F9 v1.0  B1071,CCAFS SLC-40,6151,GTO,NASA (ISS),Success,True Ocean
2012-12-14,00:00:00,F9 v1.0  B1072,CCAFS SLC-40,12448,GEO,NASA (CRS),Success,True ASDS
2013-01-25,00:00:00,F9 v1.0  B1073,CCAFS SLC-40,3496,ES-L1,Iridium,Failure,None None
2013-03-08,00:00:00,F9 v1.0  B1074,CCAFS SLC-40,4707,VLEO,NASA (ISS),Success,True ASDS
2013-04-19,00:00:00,F9 v1.0  B1075,VAFB SLC-4E,7737,GTO,Iridium,Success,True ASDS
2013-05-31,00:00:00,F9 v1.0  B1076,CCAFS SLC-40,7389,ISS,USAF,Failure,False Ocean
2013-07-12,00:00:00,F9 v1.0  B1077,KSC LC-39A,11523,PO,NASA (CRS),Success,True ASDS
2013-08-23,00:00:00,F9 v1.0  B1078,CCAFS SLC-40,6089,ISS,SpaceX,Success,True ASDS
2013-10-04,00:00:00,F9 v1.0  B1079,KSC LC-39A,10394,ISS,SpaceX,Success,True ASDS
2013-11-15,00:00:00,F9 v1.0  B1050,KSC LC-39A,4720,PO,SES,Failure,None None
2013-12-27,00:00:00,F9 v1.0  B1051,VAFB SLC-4E,2626,ISS,Iridium,Success,True ASDS
2014-02-07,00:00:00,F9 v1.0  B1052,KSC LC-39A,0,VLEO,USAF,Success,True RTLS
2014-03-21,00:00:00,F9 v1.0  B1053,VAFB SLC-4E,8935,GTO,SES,Success,True ASDS
2014-05-02,00:00:00,F9 v1.0  B1054,CCAFS SLC-40,2375,SSO,SpaceX,Success,True RTLS
2014-06-13,00:00:00,F9 v1.0  B1055,KSC LC-39A,2241,SSO,SpaceX,Success,True Ocean
2014-07-25,00:00:00,F9 v1.0  B1056,KSC LC-39A,7464,ISS,SES,Success,True ASDS
2014-09-05,00:00:00,F9 v1.0  B1057,CCAFS SLC-40,12512,SSO,USAF,Failure,None None
2014-10-17,00:00:00,F9 v1.0  B1058,VAFB SLC-4E,4896,VLEO,SpaceX,Failure,None None
2014-11-28,00:00:00,F9 v1.0  B1059,KSC LC-39A,6577,GTO,Iridium,Failure,None None
2015-01-09,00:00:00,F9 v1.0  B1060,CCAFS SLC-40,4998,PO,SpaceX,Failure,None None
2015-02-20,00:00:00,F9 v1.0  B1061,VAFB SLC-4E,11857,GTO,SES,Success,True RTLS
2015-04-03,00:00:00,F9 v1.0  B1062,CCAFS SLC-40,5683,GTO,SpaceX,Success,True ASDS
2015-05-15,00:00:00,F9 v1.0  B1063,CCAFS SLC-40,5803,GTO,NASA (ISS),Failure,False Ocean
2015-06-26,00:00:00,F9 FT B1064,VAFB SLC-4E,4355,LEO,USAF,Success,True ASDS
2015-08-07,00:00:00,F9 FT B1065,CCAFS SLC-40,4011,VLEO,SpaceX,Failure,None None
2015-09-18,00:00:00,F9 FT B1066,KSC LC-39A,8236,ISS,NASA (ISS),Success,True Ocean
2015-10-30,00:00:00,F9 FT B1067,CCAFS SLC-40,1967,SSO,Iridium,Success,True ASDS
2015-12-11,00:00:00,F9 FT B1068,KSC LC-39A,4287,GTO,USAF,Success,True ASDS
2016-01-22,00:00:00,F9 FT B1069,VAFB SLC-4E,10321,ISS,SpaceX,Success,True ASDS
