FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude,Class
1,2010-07-16,Falcon 9,12416.8,VLEO,CCAFS SLC 40,True ASDS,4,False,True,True,5e9e3032383ecb267a34e7c7,1.0,3,B1051,-80.57682,28.563197,1
2,2010-08-27,Falcon 9,4869.2,PO,CCAFS SLC 40,True ASDS,2,False,True,True,5e9e3032383ecb267a34e7c7,1.0,1,B1052,-80.57682,28.563197,1
3,2010-10-08,Falcon 9,10061.8,VLEO,CCAFS SLC 40,True ASDS,2,False,True,True,5e9e3032383ecb267a34e7c7,1.0,1,B1053,-80.57682,28.563197,1
4,2010-11-19,Falcon 9,8601.7,ISS,CCAFS SLC 40,None None,3,False,True,True,,1.0,2,B1054,-80.57682,28.563197,0
5,2010-12-31,Falcon 9,9120.7,ISS,CCAFS SLC 40,True ASDS,1,False,False,True,5e9e3032383ecb267a34e7c7,1.0,0,B1055,-80.57682,28.563197,1
6,2011-02-11,Falcon 9,6209.0,LEO,CCAFS SLC 40,False ASDS,3,False,True,True,,1.0,2,B1056,-80.57682,28.563197,0
7,2011-03-25,Falcon 9,9558.6,PO,CCAFS SLC 40,None ASDS,1,False,False,True,,1.0,0,B1057,-80.57682,28.563197,0
8,2011-05-06,Falcon 9,6862.5,PO,CCAFS SLC 40,True ASDS,4,False,True,True,5e9e3032383ecb267a34e7c7,1.0,3,B1058,-80.57682,28.563197,1
9,2011-06-17,Falcon 9,6341.1,ISS,CCAFS SLC 40,True RTLS,2,False,True,True,5e9e3032383ecb267a34e7c7,1.0,1,B1059,-80.57682,28.563197,1
10,2011-07-29,Falcon 9,1422.6,GTO,CCAFS SLC 40,True ASDS,3,False,True,True,5e9e3032383ecb267a34e7c7,1.0,2,B1060,-80.57682,28.563197,1
11,2011-09-09,Falcon 9,8939.2,PO,CCAFS SLC 40,False RTLS,2,False,True,True,,1.0,1,B1061,-80.57682,28.563197,0
12,2011-10-21,Falcon 9,252.8,GTO,CCAFS SLC 40,True ASDS,2,False,True,True,5e9e3032383ecb267a34e7c7,1.0,1,B1062,-80.57682,28.563197,1
13,2011-12-02,Falcon 9,4096.3,GTO,CCAFS SLC 40,None None,4,False,True,True,,1.0,3,B1063,-80.57682,28.563197,0
14,2012-01-13,Falcon 9,0.0,GTO,CCAFS SLC 40,False ASDS,3,False,True,True,,1.0,2,B1064,-80.57682,28.563197,0
15,2012-02-24,Falcon 9,7840.9,LEO,CCAFS SLC 40,True RTLS,2,False,True,True,5e9e3032383ecb267a34e7c7,1.0,1,B1065,-80.57682,28.563197,1
16,2012-04-06,Falcon 9,14366.6,GTO,CCAFS SLC 40,True ASDS,1,False,False,True,5e9e3032383ecb267a34e7c7,1.0,0,B1066,-80.57682,28.563197,1
17,2012-05-18,Falcon 9,7251.3,GTO,CCAFS SLC 40,True RTLS,4,False,True,True,5e9e3032383ecb267a34e7c7,1.0,3,B1067,-80.57682,28.563197,1
18,2012-06-29,Falcon 9,12961.9,HEO,CCAFS SLC 40,True ASDS,2,False,True,True,5e9e3032383ecb267a34e7c7,1.0,1,B1068,-80.57682,28.563197,1
19,2012-08-10,Falcon 9,10790.0,VLEO,CCAFS SLC 40,True RTLS,1,False,False,True,5e9e3032383ecb267a34e7c7,1.0,0,B1069,-80.57682,28.563197,1
20,2012-09-21,Falcon 9,6152.3,ISS,CCAFS SLC 40,None None,2,False,True,True,,1.0,1,B1070,-80.57682,28.563197,0
