Launch Site,Lat,Long,class,Payload Mass (kg),Booster Version,Booster Version Category
CCAFS SLC-40,28.563197,-80.57682,1,12416.8,F9 v1.0,v1.0
CCAFS SLC-40,28.563197,-80.57682,1,4869.2,F9 v1.0,v1.0
CCAFS SLC-40,28.563197,-80.57682,1,10061.8,F9 v1.0,v1.0
CCAFS SLC-40,28.563197,-80.57682,0,8601.7,F9 v1.0,v1.0
CCAFS SLC-40,28.563197,-80.57682,1,9120.7,F9 v1.0,v1.0
CCAFS SLC-40,28.563197,-80.57682,0,6209.0,F9 v1.0,v1.0
CCAFS SLC-40,28.563197,-80.57682,0,9558.6,F9 v1.0,v1.0
CCAFS SLC-40,28.563197,-80.57682,1,6862.5,F9 v1.0,v1.0
CCAFS SLC-40,28.563197,-80.57682,1,6341.1,F9 v1.0,v1.0
CCAFS SLC-40,28.563197,-80.57682,1,1422.6,F9 v1.0,v1.0
CCAFS SLC-40,28.563197,-80.57682,0,8939.2,F9 v1.0,v1.0
CCAFS SLC-40,28.563197,-80.57682,1,252.8,F9 v1.0,v1.0
CCAFS SLC-40,28.563197,-80.57682,0,4096.3,F9 v1.0,v1.0
CCAFS SLC-40,28.563197,-80.57682,0,0.0,F9 v1.0,v1.0
CCAFS SLC-40,28.563197,-80.57682,1,7840.9,F9 v1.0,v1.0
CCAFS SLC-40,28.563197,-80.57682,1,14366.6,F9 v1.0,v1.0
CCAFS SLC-40,28.563197,-80.57682,1,7251.3,F9 v1.0,v1.0
CCAFS SLC-40,28.563197,-80.57682,1,12961.9,F9 v1.0,v1.0
CCAFS SLC-40,28.563197,-80.57682,1,10790.0,F9 v1.0,v1.0
CCAFS SLC-40,28.563197,-80.57682,0,6152.3,F9 v1.0,v1.0
CCAFS SLC-40,28.563197,-80.57682,1,6151.4,F9 v1.0,v1.0
CCAFS SLC-40,28.563197,-80.57682,1,12448.4,F9 v1.0,v1.1
CCAFS SLC-40,28.563197,-80.57682,0,3496.1,F9 v1.0,v1.1
CCAFS SLC-40,28.563197,-80.57682,1,4707.7,F9 v1.0,v1.1
VAFB SLC-4E,34.632834,-120.610746,1,7737.5,F9 v1.0,v1.1
CCAFS SLC-40,28.563197,-80.57682,0,7389.0,F9 v1.0,v1.1
KSC LC-39A,28.573255,-80.646895,1,11523.1,F9 v1.0,v1.1
CCAFS SLC-40,28.563197,-80.57682,1,6089.8,F9 v1.0,v1.1
KSC LC-39A,28.573255,-80.646895,1,10394.5,F9 v1.0,v1.1
KSC LC-39A,28.573255,-80.646895,0,4720.6,F9 v1.0,v1.1
VAFB SLC-4E,34.632834,-120.610746,1,2626.6,F9 v1.0,v1.1
KSC LC-39A,28.573255,-80.646895,1,0.0,F9 v1.0,v1.1
VAFB SLC-4E,34.632834,-120.610746,1,8935.3,F9 v1.0,v1.1
CCAFS SLC-40,28.563197,-80.57682,1,2375.3,F9 v1.0,v1.1
KSC LC-39A,28.573255,-80.646895,1,2241.7,F9 v1.0,v1.1
KSC LC-39A,28.573255,-80.646895,1,7464.6,F9 v1.0,v1.1
CCAFS SLC-40,28.563197,-80.57682,0,12512.1,F9 v1.0,v1.1
VAFB SLC-4E,34.632834,-120.610746,0,4896.6,F9 v1.0,v1.1
KSC LC-39A,28.573255,-80.646895,0,6577.9,F9 v1.0,v1.1
CCAFS SLC-40,28.563197,-80.57682,0,4998.3,F9 v1.0,v1.1
VAFB SLC-4E,34.632834,-120.610746,1,11857.4,F9 v1.0,v1.1
